Class Name,Type,Graduate Education Hour,Additional Hour,URL
MGR Online: Producing Professional Podcasts,Professional,5.5,0,https://monash.csod.com/ui/lms-learning-details/app/course/8546d080-f2ca-45bb-8485-0b379b5553cc
MGR Online: Learn NVivo - The Basics,Research,1.5,0,https://monash.csod.com/ui/lms-learning-details/app/course/39d55dec-b89f-46f4-bb02-76432aa69cb9
MGR Online: Learning MATLAB,Research,1.5,0,https://monash.csod.com/ui/lms-learning-details/app/course/83239d39-324e-4dda-84f6-db82127bef1f
MGR Online: R for Excel Users,Research,1.5,0,https://monash.csod.com/ui/lms-learning-details/app/course/e4826949-ee5d-404a-945a-a5154295fb82
MGR Online: Social Network Analysis Using R,Research,1.5,0,https://monash.csod.com/ui/lms-learning-details/app/course/34909382-67d5-45d8-9024-eebe1aca9d7e
MGR Online: Programming Foundations: Fundamentals,Research,2,0,https://monash.csod.com/ui/lms-learning-details/app/course/d2be3b74-c0c8-4922-bd79-9af540c5ae1c
MGR Online: Introduction to Data Analysis with Python,Research,2.5,0,https://monash.csod.com/ui/lms-learning-details/app/course/d9581555-98e2-42a0-8a83-fe354236e247
MGR Online: Learning Python,Research,2.5,0,https://monash.csod.com/ui/lms-learning-details/app/course/bca21365-4bda-4077-b852-44693cb07b33
MGR Online: Learning R,Research,2.5,0,https://monash.csod.com/ui/lms-learning-details/app/course/705db71a-85e2-4e24-8c86-fa2a00bebe6f
MGR Online: Word 2016 - Creating Long Documents,Research,2.5,0,https://monash.csod.com/ui/lms-learning-details/app/course/bdad57ed-99ee-4bb7-8005-8dfdc27d0307
MGR Online: Illustrator CC 2017 Essential Training,Research,5,0,https://monash.csod.com/ui/lms-learning-details/app/course/d2ac22c5-8a57-442e-8d2d-823448b83616
MGR Online: Illustrator CC 2019 Essential Training,Research,5,0,https://monash.csod.com/ui/lms-learning-details/app/course/73359162-bb5d-461c-b78c-dfa77d44a301
MGR Online: SPSS Statistics Essential Training,Research,5,0,https://monash.csod.com/ui/lms-learning-details/app/course/ba9d2b9f-2056-4979-8486-44c881b41504
MGR Online: R Statistics Essential Training,Research,6,0,https://monash.csod.com/ui/lms-learning-details/app/course/6852b75b-16ad-4bc3-be11-e18cbbca4070
MGR Online: Excel 2016 - Advanced Formulas and Functions,Research,6.5,0,https://monash.csod.com/ui/lms-learning-details/app/course/4848bee8-f035-4e97-8e0d-76f2c3b4e40b
